SR,ITEM_CODE,PARENT_ID,DESIGN_CODE,CATEGORY,SUB_CATEGORY,,DIAMOND_TYPE,SHAPE,COLOR,CLARITY,SETTING_TYPE,PIECES,SIZE_MIN,SIZE_MAX,TOTAL_WGT,,METAL_TYPE,METAL_STAMP,APPX_WEIGHT,,NATURAL_PRICE,NATURAL_OFFER_PRICE,LAB_PRICE,LAB_OFFER_PRICE,VARIANT_TAXABLE,,Rings_SIZE,GENDER,IS_ENGRAVING,SHIPMENT_DAYS,MATCHING_ITEMCODE,,IMG1,IMG2,IMG3,IMG4,IMG5,VIDEO,,TITLE,LONG_DESC,SHORT_DESC,COLLECTIONS,OCCASIONS,TAGS,PUBLISHED,SLUG
340,RCYG51,,RC_RD_247,Rings,Engagement Rings,,Center,Round,,,Channel,,0.5,1.5,,,Yellow Gold,14K,2.57,,442,,326,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RCYG51/RCYG51-01.png,https://bellamy.blob.core.windows.net/bellamy/RCYG51/RCYG51-02.png,https://bellamy.blob.core.windows.net/bellamy/RCYG51/RCYG51-03.png,https://bellamy.blob.core.windows.net/bellamy/RCYG51/RCYG51-04.png,https://bellamy.blob.core.windows.net/bellamy/RCYG51/RCYG51-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RCYG51/RCYG51-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Channel, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,26,0.003,0.0125,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,RCWG51,RCWG51,RC_RD_247,Rings,Engagement Rings,,Center,Round,,,Channel,,0.5,1.5,,,White Gold,14K,2.57,,442,,326,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RCWG51/RCWG51-01.png,https://bellamy.blob.core.windows.net/bellamy/RCWG51/RCWG51-02.png,https://bellamy.blob.core.windows.net/bellamy/RCWG51/RCWG51-03.png,https://bellamy.blob.core.windows.net/bellamy/RCWG51/RCWG51-04.png,https://bellamy.blob.core.windows.net/bellamy/RCWG51/RCWG51-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RCWG51/RCWG51-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Channel, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,26,0.003,0.0125,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,RCRG51,RCWG51,RC_RD_247,Rings,Engagement Rings,,Center,Round,,,Channel,,0.5,1.5,,,Rose Gold,14K,2.57,,442,,326,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RCRG51/RCRG51-01.png,https://bellamy.blob.core.windows.net/bellamy/RCRG51/RCRG51-02.png,https://bellamy.blob.core.windows.net/bellamy/RCRG51/RCRG51-03.png,https://bellamy.blob.core.windows.net/bellamy/RCRG51/RCRG51-04.png,https://bellamy.blob.core.windows.net/bellamy/RCRG51/RCRG51-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RCRG51/RCRG51-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Channel, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,26,0.003,0.0125,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,RHYG52,,RH_RD_101,Rings,Engagement Rings,,Center,Round,,,Halo,,0.5,0.9,,,Yellow Gold,14K,3.55,,847,,540,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG52/RHYG52-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG52/RHYG52-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG52/RHYG52-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG52/RHYG52-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG52/RHYG52-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG52/RHYG52-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,68,0.009,0.015,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,RHWG52,RHWG52,RH_RD_101,Rings,Engagement Rings,,Center,Round,,,Halo,,0.5,0.9,,,White Gold,14K,3.55,,847,,540,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG52/RHWG52-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG52/RHWG52-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG52/RHWG52-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG52/RHWG52-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG52/RHWG52-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG52/RHWG52-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,68,0.009,0.015,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
